GeneName,d0_siRNA,dm_siRNA,dm_NC,dm_PPARG,ins_siRNA,ins_NC,ins_PPARG
4930505A04Rik,=,=,=,=,-,+,+
4930506C21Rik,=,=,=,=,+,+,=
4930511E03Rik,+,=,-,=,+,+,+
4930512H18Rik,=,=,-,=,=,=,=
4930513N10Rik,=,=,=,=,-,=,=
4930519P11Rik,=,=,=,=,+,+,=
4930520O04Rik,=,=,-,-,-,=,-
4930522L14Rik,=,=,=,=,=,=,=
4930523C07Rik,=,=,=,=,+,+,+
4930524J08Rik,=,=,=,+,-,=,=
4930524O07Rik,=,=,=,=,+,=,=
4930533O14Rik,=,=,=,=,=,=,=
4930550C14Rik,=,=,=,=,=,=,=
4930556M19Rik,=,=,-,-,-,=,+
4930557K07Rik,=,=,=,=,=,=,=
4930577N17Rik,=,=,=,=,-,=,+
4930579G18Rik,=,=,=,=,-,-,=
4930579G24Rik,=,=,+,+,-,=,=
4930579K19Rik,=,-,=,=,-,=,=
4930581F22Rik,=,=,-,-,=,=,=
4930589O11Rik,=,=,=,=,=,=,=
4930594M22Rik,=,-,+,+,-,-,=
4931406C07Rik,=,=,=,=,+,+,=
4931406P16Rik,=,=,-,-,-,=,+
4931414P19Rik,=,=,=,=,-,=,=
4931428F04Rik,=,=,=,=,-,=,=
4932422M17Rik,=,-,=,=,=,=,=
4932438A13Rik,=,=,=,=,=,=,=
4933404O12Rik,=,=,+,=,-,=,=
4933407K13Rik,=,=,=,=,-,=,=
4933416E03Rik,-,=,-,-,-,=,+
4933421O10Rik,=,-,=,=,-,=,=
4933427D14Rik,=,=,=,=,-,=,+
4933431C10Rik,=,=,-,-,-,=,=
4933431E20Rik,=,=,=,=,-,=,=
4933431K14Rik,=,=,=,=,=,=,-
4933434E20Rik,=,=,=,=,=,=,=
4933439C10Rik,=,-,=,=,-,-,=
4933440N22Rik,=,=,-,=,-,=,=
5-Mar,+,=,=,=,+,+,=
5-Sep,=,-,-,=,-,=,=
5031425E22Rik,=,=,=,=,=,=,=
5031434O11Rik,=,=,-,-,=,=,=
5031439G07Rik,=,=,+,=,=,=,=
5033403F01Rik,=,=,=,=,=,=,=
5033430I15Rik,=,=,=,=,-,=,=
5330438D12Rik,=,=,=,=,=,=,=
5430403G16Rik,=,=,-,=,-,=,=
5430405H02Rik,=,=,=,=,=,=,=
5430416N02Rik,=,=,=,=,-,=,=
5530601H04Rik,=,=,=,=,-,=,=
5730409E04Rik,=,=,=,=,-,=,=
5730455P16Rik,=,=,=,=,=,=,=
5730480H06Rik,=,=,=,=,=,=,=
5730508B09Rik,+,=,=,=,+,+,=
5730596B20Rik,=,-,=,=,-,=,=
5830408C22Rik,=,-,=,+,-,=,=
5830417I10Rik,=,=,=,=,=,-,=
5930403N24Rik,=,-,-,-,-,=,+
5930430L01Rik,=,=,-,-,+,+,=
6-Mar,=,=,=,=,+,=,=
6-Sep,=,=,=,=,+,+,=
6030408B16Rik,=,+,=,=,+,+,=
6030419C18Rik,=,=,=,=,-,=,=
6030443J06Rik,=,=,=,+,=,=,=
6030458C11Rik,=,=,=,=,=,=,=
6230400D17Rik,=,=,=,=,-,-,=
6330408A02Rik,=,=,-,-,=,=,=
6330418K02Rik,=,=,=,=,-,=,=
6330562C20Rik,=,=,=,-,+,+,=
6430548M08Rik,=,=,=,=,+,+,=
6430550D23Rik,=,=,=,-,=,=,=
6430571L13Rik,+,+,=,=,+,+,+
6430573F11Rik,+,+,=,=,+,+,+
6530437J22Rik,=,=,=,=,-,=,=
6720427I07Rik,=,=,=,-,=,-,-
6720489N17Rik,=,=,-,-,-,=,+
6820431F20Rik,=,=,-,=,-,=,=
7-Mar,=,=,-,-,=,=,=
7-Sep,=,=,=,=,-,=,=
8-Mar,=,=,-,-,=,=,=
8-Sep,=,=,=,=,-,=,=
8030462N17Rik,=,=,=,=,=,=,=
8430422M14Rik,=,=,-,-,+,+,=
8430429K09Rik,=,=,=,=,=,=,=
9-Mar,=,=,-,-,=,+,=
9-Sep,=,=,+,+,+,=,=
9030407P20Rik,=,=,=,=,=,=,=
9030617O03Rik,=,=,-,-,+,+,+
9030624J02Rik,=,=,=,=,=,=,=
9130011E15Rik,=,=,=,=,=,+,=
9130023H24Rik,=,=,=,=,=,=,=
9130204K15Rik,=,=,=,=,+,+,=
9130213A22Rik,=,-,=,+,-,=,=
9130221H12Rik,=,=,=,=,=,=,=
9130230N09Rik,=,=,=,=,+,+,+
9130401M01Rik,=,=,=,=,=,=,=
9230110C19Rik,=,=,=,=,=,=,=
9230112E08Rik,=,=,=,=,=,=,=
9230114K14Rik,=,=,=,=,=,=,=
9330102E08Rik,=,+,=,=,+,=,=
9330104G04Rik,=,=,=,=,-,=,=
9330151L19Rik,=,=,=,=,=,-,=
9330154J02Rik,=,=,-,=,-,=,=
9330159F19Rik,+,+,+,=,+,+,+
9330159M07Rik,=,=,=,=,+,+,=
9330179D12Rik,=,=,=,-,=,+,+
9430002A10Rik,=,=,=,=,-,=,=
9430015G10Rik,=,=,+,+,-,=,=
9430038I01Rik,=,=,=,=,=,=,+
9430069I07Rik,=,=,=,+,=,+,=
9430091E24Rik,=,=,=,=,+,+,=
9530068E07Rik,=,=,=,=,=,=,=
9530082P21Rik,=,=,-,-,=,+,=
9630013D21Rik,=,+,-,=,+,+,+
9930012K11Rik,-,-,-,-,-,=,+
9930021J03Rik,=,=,=,-,=,=,=
9930104L06Rik,=,=,=,=,=,=,=
9930111J21Rik2,+,=,-,=,-,=,-
A130006I12Rik,=,=,=,=,-,=,=
A130010J15Rik,=,=,=,=,=,=,=
A230056P14Rik,=,=,=,+,=,=,=
A230057D06Rik,-,=,=,-,-,=,+
